id;name;description;game_time_type;game_time;stop_time_type;stop_time;total_points;dif_points;jhi_order;tournament_id
1;Mesa;open-source;MINUTES;95574;MINUTES;75530;82897;8745;85439;1
2;metrics e-commerce Hormigon;programming orchestrate Comunidad;SECONDS;69811;MINUTES;2052;18974;84884;84420;2
3;Comunidad;harness Baleares Gorro;SECONDS;92796;MINUTES;94420;37510;55787;26839;3
4;Diseñador array;Verde;SECONDS;60986;SECONDS;64626;3597;12226;85213;4
5;Bedfordshire Cliente;Cara plug-and-play Amigable;SECONDS;9061;MINUTES;57740;8182;66292;52826;5
6;Producto Loan connecting;withdrawal networks;SECONDS;50782;MINUTES;65681;87717;51091;54811;6
7;invoice Sorprendente Violeta;feed Informática;MINUTES;11805;SECONDS;775;27188;89196;34646;7
8;Account Cambridgeshire Verde;circuit Optimización;MINUTES;29421;SECONDS;47806;10184;52438;55085;8
9;Franc;arquitectura global Agente;SECONDS;90186;SECONDS;4152;25973;5503;30619;9
10;UIC-Franc;Rioja Refinado;MINUTES;43682;MINUTES;91420;96617;12186;46072;10
