id;name;latitude;longitude
1;aggregate;Integración generate Ensalada;en Barein
2;Extremadura ubiquitous Integración;Gris Cliente Loan;Rico Dinar content
3;Operaciones;Inversor Cambridgeshire Director;Adelante
4;Peso;reboot;deposit Dinar Hormigon
5;local;wireless;Madera Inversor
6;Electrónica Ladrillo Quinta;Joyería;Venezuela Cuentas multi-byte
7;leverage;Relacciones;Consultor nueva withdrawal
8;Práctico Sheqel International;Buckinghamshire Ladrillo real;Bicicleta
9;Bedfordshire Plástico;Pizza;hacking
10;niches;optimizada;Infraestructura best-of-breed
