id;name;from_date;end_date;end_inscription_date;status;create_date;updated_date;end_inscription_players_date;field_id
1;Atún integrated deposit;2021-04-05;2021-04-05;2021-04-05;DONE;2021-04-05T05:28:04;2021-04-05T07:04:20;2021-04-05;1
2;Cambridgeshire Morado;2021-04-05;2021-04-05;2021-04-05;CANCEL;2021-04-05T11:38:15;2021-04-05T05:49:48;2021-04-05;2
3;hack Bedfordshire;2021-04-05;2021-04-05;2021-04-05;PENDING;2021-04-06T02:16:47;2021-04-05T17:09:04;2021-04-05;3
4;Home;2021-04-05;2021-04-05;2021-04-05;DONE;2021-04-05T12:01:36;2021-04-05T03:57:05;2021-04-05;4
5;Humano;2021-04-06;2021-04-05;2021-04-05;PENDING;2021-04-05T08:21:50;2021-04-06T02:13:28;2021-04-05;5
6;Bedfordshire hack portals;2021-04-06;2021-04-06;2021-04-05;DONE;2021-04-05T12:46:21;2021-04-05T18:11:25;2021-04-05;6
7;Auto acompasada direccional;2021-04-05;2021-04-05;2021-04-05;CANCEL;2021-04-05T15:48:00;2021-04-05T10:43:49;2021-04-05;7
8;withdrawal Avanzado;2021-04-05;2021-04-05;2021-04-06;CREATED;2021-04-05T09:52:21;2021-04-05T14:52:01;2021-04-05;8
9;Bedfordshire deposit;2021-04-05;2021-04-05;2021-04-05;DONE;2021-04-05T10:13:01;2021-04-05T07:51:56;2021-04-06;9
10;Directo;2021-04-05;2021-04-05;2021-04-05;CANCEL;2021-04-05T17:16:21;2021-04-06T00:08:31;2021-04-05;10
