id;name;description;players_qty;tournament_id
1;Verde communities;Guarani Loan Relacciones;92026;1
2;overriding SCSI Ergonómico;Cine Barranco;8593;2
3;Chipre;Personal Videojuegos;47789;3
4;Amarillo firewall Galicia;Integración Algodón firewall;59498;4
5;Pelota Canarias;proactive;29311;5
6;Acero Distrito;24/7 e-tailers Buckinghamshire;59729;6
7;up program Práctico;compress Morado Extramuros;33298;7
8;feed Cambridgeshire virtual;multi-byte deposit Reactivo;84355;8
9;Hecho Queso optical;Sabroso;22124;9
10;empower Baht Fantástico;Sorprendente;81277;10
