id;points_a;points_b;split_deck_num;time_left;status;overtime_a;overtime_b;uvu_a;uvu_b;jhi_group;clasif;teama_id;teamb_id;event_category_id
1;78513;77697;16705;75787;DONE;75356;46913;75815;91802;Creativo;optical streamline;1;1;1
2;3062;80156;28424;14941;PENDING;93721;18268;24978;40745;Planificador;Navarra Salchichas;2;2;2
3;57285;50054;69063;86494;CANCEL;53638;32594;53519;65419;ejecutiva Configuración Berkshire;sensor withdrawal;3;3;3
4;69039;74870;7090;47881;CREATED;76115;79121;47733;68547;payment XML;Paradigma synergies;4;4;4
5;36624;448;56401;20406;CANCEL;60782;24992;56275;76205;FTP Gorro Gerente;Comunidad Datos;5;5;5
6;58189;80723;63659;33713;DONE;91186;34991;23263;26290;Optimizado Silla Decoración;Raton Cuesta Práctico;6;6;6
7;21162;51162;9123;62162;PENDING;14620;35120;3637;36006;Verde Islandia Pizza;Líbano magnetic;7;7;7
8;76324;53776;76511;3973;CANCEL;41095;32028;56530;65591;real-time;Sopa SAS Marca;8;8;8
9;13143;89662;85163;45296;IN_PROGRESS;85076;81298;29852;97363;Heredado bandwidth;synthesizing;9;9;9
10;40371;65195;30064;97662;CREATED;4816;53736;24154;16394;groupware Ordenador invoice;Egipto;10;10;10
