id;logo;logo_content_type;name;active
1;../fake-data/blob/hipster.png;image/png;program de;true
2;../fake-data/blob/hipster.png;image/png;Congo Austria;false
3;../fake-data/blob/hipster.png;image/png;Ingeniero Buckinghamshire;true
4;../fake-data/blob/hipster.png;image/png;navigate;false
5;../fake-data/blob/hipster.png;image/png;Administrador Increible necesidades;false
6;../fake-data/blob/hipster.png;image/png;Gris Cantabria supply-chains;false
7;../fake-data/blob/hipster.png;image/png;Metal;true
8;../fake-data/blob/hipster.png;image/png;Baleares;false
9;../fake-data/blob/hipster.png;image/png;front-end Lesotho leading-edge;false
10;../fake-data/blob/hipster.png;image/png;deposit Salchichas Haiti;false
